full_name,commit_frequency,activity_consistency,commit_trend,active_days_ratio,peak_to_average_ratio,recent_vs_past_ratio,velocity_stability,has_description,has_license,forks_count,open_issues_count,stars,commit_count_total,has_readme,health_score,health_grade
forwardemail/superagent,0.8846,3.3492,0.008964,0.1731,22.6087,0.0,3.7861,1,1,1329,1101,16632,1950,1,38.82,E
jordan-cutler/path-to-senior-engineer-handbook,0.0962,0.4048,-0.008666,0.0577,20.8,0.0,4.2095,1,1,1436,8,15884,90,1,42.31,D
rrweb-io/rrweb,0.4231,1.0256,0.0251,0.1923,11.8182,0.5714,2.4241,1,1,1549,943,18497,1290,1,44.98,D
netbirdio/netbird,14.0385,5.463,0.037394,1.0,2.0658,2.0769,0.3891,1,1,856,1964,18330,2309,1,72.96,B
realpython/python-guide,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,5889,279,29192,2328,1,59.57,C
yangshun/front-end-interview-handbook,1.2115,3.4437,-0.043584,0.4038,19.8095,1.0,2.8424,1,1,5941,102,43477,828,1,58.74,C
thedaviddias/Front-End-Performance-Checklist,0.0192,0.1373,-0.001921,0.0192,52.0,0.0,7.1414,1,1,1245,34,17054,224,1,41.07,D
ish-app/ish,1.6731,0.9946,-0.009861,0.8462,2.9885,2.0,0.5945,1,1,1123,1980,18440,4198,1,63.29,C
ReactiveX/rxjs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,3005,3160,31436,5461,1,51.13,C
ray-project/ray,100.0385,22.1862,0.01699,1.0,1.5894,0.7162,0.2218,1,1,6749,21003,38724,26773,1,67.93,C
decaporg/decap-cms,1.6538,2.1112,0.037053,0.5962,6.6512,2.25,1.2765,1,1,3089,3122,18554,4412,1,55.67,C
typeorm/typeorm,5.8846,4.9406,0.073423,0.8654,3.3987,5.5,0.8396,1,1,6436,8409,35736,5575,1,67.76,C
sweetalert2/sweetalert2,3.0192,4.012,0.058525,0.7115,6.6242,2.0,1.3288,1,1,1638,1689,17907,3348,1,66.12,C
realm/realm-swift,0.6154,1.6659,0.019722,0.1923,16.25,10.0,2.7071,1,1,2200,5473,16540,12456,1,35.67,E
vxunderground/MalwareSourceCode,0.0385,0.1923,0.0,0.0385,26.0,0.0,5.0,1,0,1946,70,17144,913,1,36.58,E
Kong/kong,1.9423,3.2958,-0.120166,0.6154,11.3267,0.0,1.6968,1,1,4969,4561,41645,11238,1,57.94,C
beego/beego,0.2692,0.6826,-0.022454,0.1731,11.1429,0.0,2.5355,1,1,5629,3374,32225,4833,1,41.2,D
freefq/free,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,5702,737,38129,8115,1,54.43,C
kingToolbox/WindTerm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2161,2751,27832,105,1,46.85,D
trekhleb/homemade-machine-learning,0.0192,0.1373,0.001067,0.0192,52.0,0.0,7.1414,1,1,4101,27,23666,254,1,42.13,D
RikkaApps/Shizuku,0.4038,1.746,-0.026253,0.0962,29.7143,0.0,4.3234,1,1,1215,700,16700,1091,1,36.15,E
scutan90/DeepLearning-500-questions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,15980,191,56507,1275,1,64.19,C
PhilJay/MPAndroidChart,0.0192,0.1373,-0.000982,0.0192,52.0,0.0,7.1414,1,1,9052,4964,38106,2072,1,30.88,E
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,7936,248,27815,1119,1,59.59,C
NationalSecurityAgency/ghidra,49.7115,17.2218,-0.183087,1.0,1.9513,0.8308,0.3464,1,1,6660,5549,59840,15440,1,75.77,B
facebook/rocksdb,9.9038,5.0202,0.038718,1.0,2.6252,1.7692,0.5069,1,1,6595,3408,30418,13416,1,73.39,B
SeleniumHQ/selenium,27.9231,17.2859,0.111756,1.0,3.1157,1.0517,0.6191,1,1,8571,10949,33076,33387,1,68.68,C
